Actual Weight,Actual Width,Actual Height,Actual Length
5.7,45.0,1.0,81.0
19.0,38.0,39.0,85.0
20.0,5.0,8.0,6.0
36.0,45.0,95.0,48.0
10.0,15.0,15.0,82.0
40.0,32.0,15.0,85.0
65.0,20.0,200.0,55.0
13.9,10.0,95.0,62.0
18.0,33.0,21.0,120.0
2.5,40.0,15.0,90.0
30.0,65.0,20.0,120.0
18.0,11.0,79.0,49.0
6.8,45.0,112.0,4.0
55.0,65.0,56.0,99.0
25.0,215.0,20.0,12.0
1.35,20.0,15.0,50.0
7.0,38.0,8.0,94.0
6.7,10.0,100.0,10.0
3.0,12.0,90.0,12.0
39.0,40.0,38.0,160.0
4.0,53.0,15.0,111.0
69.0,55.0,95.0,85.0
30.0,21.0,42.0,90.0
15.0,30.0,30.0,140.0
6.0,11.0,75.0,25.0
29.9,44.0,22.0,83.0
10.0,50.0,60.0,40.0
18.0,80.0,12.0,120.0
2.4,29.0,7.0,89.0
21.4,59.0,79.0,32.0
16.0,45.0,90.0,150.0
29.0,55.0,55.0,65.0
10.0,2.0,65.0,4.0
15.0,70.0,45.0,130.0
15.0,45.0,25.0,75.0
14.0,34.0,23.0,45.0
19.0,22.0,32.0,77.0
166.0,172.0,62.0,72.0
5.0,8.0,4.0,90.0
19.61,17.0,41.7,73.0
5.08,10.0,40.0,103.0
11.0,43.0,7.0,26.0
36.0,30.0,40.0,80.0
31.0,23.0,125.0,68.0
50.0,65.0,100.0,85.0
65.0,23.0,33.0,23.0
55.0,30.0,150.0,50.0
31.0,48.0,38.0,99.0
16.0,11.0,10.0,96.0
18.0,54.0,7.0,108.0
2.0,23.0,7.0,115.0
5.0,21.0,13.0,43.0
4.9,34.0,49.0,97.0
6.6,35.0,52.0,34.0
8.3,67.0,14.0,98.0
18.0,24.0,11.0,119.0
9.0,70.0,110.0,20.0
25.0,27.0,34.0,59.0
20.0,65.0,24.0,76.0
15.0,87.0,30.0,110.0
19.8,62.0,9.0,122.0
13.0,87.0,111.0,8.0
16.0,43.0,35.0,77.0
3.0,12.0,130.0,67.0
51.0,50.0,99.0,65.0
3.5,10.0,10.0,75.0
3.18,11.0,22.0,103.0
5.0,34.0,79.0,49.0
30.0,27.0,35.0,70.0
40.0,27.0,35.0,70.0
1.8,10.0,86.0,10.0
5.0,43.0,12.0,72.0
20.0,49.0,39.5,84.0
15.0,30.0,5.0,90.0
21.0,50.0,10.0,50.0
25.0,11.0,40.0,60.0
34.8,65.0,68.0,15.0
20.0,25.0,4.0,121.0
23.0,20.0,20.0,80.0
21.0,36.0,18.0,62.0
16.0,23.0,33.0,35.0
12.0,35.0,19.0,87.0
79.0,80.0,80.0,80.0
5.0,13.0,12.0,83.0
21.0,54.0,28.2,91.0
10.0,30.0,5.0,75.0
12.0,30.0,5.0,150.0
32.0,50.0,16.0,125.0
20.0,90.0,30.0,25.0
18.9,67.0,20.0,130.0
32.2,42.0,14.0,75.0
30.0,30.0,30.0,30.0
21.0,54.0,28.2,91.0
63.0,81.0,25.0,159.0
20.0,128.0,35.0,29.0
4.0,45.0,12.0,103.0
17.2,30.0,5.0,154.0
10.0,30.0,5.0,75.0
37.0,217.0,60.0,5.0
4.0,20.0,3.0,110.0
25.0,30.0,8.0,190.0
26.0,65.0,16.0,54.0
30.0,18.0,55.0,76.0
12.0,45.0,25.0,140.0
13.9,10.0,95.0,62.0
15.0,40.0,16.0,74.0
17.5,90.0,20.0,140.0
42.0,65.0,110.0,38.0
20.0,60.0,5.0,217.0
50.0,33.0,13.0,86.0
21.0,11.0,23.0,11.0
32.2,185.0,45.0,5.0
29.0,54.0,35.0,120.0
45.0,25.0,56.0,30.0
12.0,8.0,8.0,123.0
45.0,61.0,44.0,73.0
30.0,45.0,95.0,65.0
28.0,165.0,55.0,5.0
31.0,74.0,15.0,147.0
39.7,62.0,46.0,16.0
33.0,85.0,23.0,110.0
35.0,25.0,110.0,85.0
12.58,40.0,12.5,160.0
60.0,85.0,100.0,75.0
16.0,10.0,130.0,10.0
33.0,10.0,107.0,63.0
18.0,60.0,50.0,80.0
17.0,75.0,45.0,145.0
50.0,15.0,93.0,67.0
18.0,50.0,15.0,150.0
40.0,32.0,34.0,14.0
20.0,32.0,34.0,14.0
20.0,32.0,34.0,14.0
20.0,32.0,34.0,14.0
45.0,35.0,75.0,110.0
120.0,10.0,36.0,88.0
9.4,21.0,64.0,100.0
38.0,55.0,20.0,90.0
23.0,56.0,32.0,85.0
18.0,20.0,7.0,64.0
5.13,30.0,15.0,100.0
9.0,51.0,31.0,92.7
